x,rho,P,u,e,M,H
-0.3421875,1,1,0,2.5,0,3.5
-0.3403125,1,1,0,2.5,0,3.5
-0.3384375,1,1,0,2.5,0,3.5
-0.3365625,1,1,0,2.5,0,3.5
-0.3346875,1,1,0,2.5,0,3.5
-0.3328125,1,1,0,2.5,0,3.5
-0.3309375,1,1,0,2.5,0,3.5
-0.3290625,1,1,0,2.5,0,3.5
-0.3271875,1,1,0,2.5,0,3.5
-0.3253125,1,1,0,2.5,0,3.5
-0.3234375,1,1,0,2.5,0,3.5
-0.3215625,1,1,0,2.5,0,3.5
-0.3196875,1,1,0,2.5,0,3.5
-0.3178125,1,1,0,2.5,0,3.5
-0.3159375,1,1,0,2.5,0,3.5
-0.3140625,1,1,0,2.5,0,3.5
-0.3121875,1,1,0,2.5,0,3.5
-0.3103125,1,1,0,2.5,0,3.5
-0.3084375,1,1,0,2.5,0,3.5
-0.3065625,1,1,0,2.5,0,3.5
-0.3046875,1,1,0,2.5,0,3.5
-0.3028125,1,1,0,2.5,0,3.5
-0.3009375,1,1,0,2.5,0,3.5
-0.2990625,1,1,0,2.5,0,3.5
-0.2971875,1,1,0,2.5,0,3.5
-0.2953125,1,1,0,2.5,0,3.5
-0.2934375,1,1,0,2.5,0,3.5
-0.2915625,1,1,0,2.5,0,3.5
-0.2896875,1,1,0,2.5,0,3.5
-0.2878125,1,1,0,2.5,0,3.5
-0.2859375,1,1,0,2.5,0,3.5
-0.2840625,1,1,0,2.5,0,3.5
-0.2821875,1,1,0,2.5,0,3.5
-0.2803125,1,1,0,2.5,0,3.5
-0.2784375,1,1,0,2.5,0,3.5
-0.2765625,1,1,0,2.5,0,3.5
-0.2746875,1,1,0,2.5,0,3.5
-0.2728125,1,1,0,2.5,0,3.5
-0.2709375,1,1,0,2.5,0,3.5
-0.2690625,1,1,0,2.5,0,3.5
-0.2671875,1,1,0,2.5,0,3.5
-0.2653125,1,1,0,2.5,0,3.5
-0.2634375,1,1,0,2.5,0,3.5
-0.2615625,1,1,0,2.5,0,3.5
-0.2596875,1,1,0,2.5,0,3.5
-0.2578125,1,1,0,2.5,0,3.5
-0.2559375,1,1,0,2.5,0,3.5
-0.2540625,1,1,0,2.5,0,3.5
-0.2521875,1,1,0,2.5,0,3.5
-0.2503125,1,1,0,2.5,0,3.5
-0.2484375,1,1,0,2.5,0,3.5
-0.2465625,1,1,0,2.5,0,3.5
-0.2446875,1,1,0,2.5,0,3.5
-0.2428125,1,1,0,2.5,0,3.5
-0.2409375,1,1,0,2.5,0,3.5
-0.2390625,1,1,0,2.5,0,3.5
-0.2371875,1,1,0,2.5,0,3.5
-0.2353125,1,1,0,2.5,0,3.5
-0.2334375,1,1,0,2.5,0,3.5
-0.2315625,1,1,0,2.5,0,3.5
-0.2296875,0.996250797,0.994755055,0.004442784,2.496246572,0.00375766,3.4947452
-0.2278125,0.989517326,0.985355089,0.012455605,2.489484174,0.010549117,3.485277844
-0.2259375,0.982820312,0.976031362,0.020468425,2.482730949,0.017359036,3.475823328
-0.2240625,0.976159607,0.966783358,0.028481246,2.475986895,0.02418749,3.466381654
-0.2221875,0.969535064,0.957610563,0.036494066,2.469252014,0.031034556,3.45695282
-0.2203125,0.962946534,0.948512468,0.044506887,2.462526305,0.03790031,3.447536828
-0.2184375,0.956393872,0.939488565,0.052519707,2.455809769,0.044784829,3.438133676
-0.2165625,0.94987693,0.930538349,0.060532528,2.449102404,0.05168819,3.428743366
-0.2146875,0.943395562,0.921661317,0.068545348,2.442404212,0.05861047,3.419365896
-0.2128125,0.936949622,0.912856971,0.076558169,2.435715192,0.065551747,3.410001268
-0.2109375,0.930538965,0.904124814,0.084570989,2.429035344,0.0725121,3.400649481
-0.2090625,0.924163446,0.895464352,0.09258381,2.422364668,0.079491606,3.391310535
-0.2071875,0.91782292,0.886875093,0.100596631,2.415703164,0.086490346,3.38198443
-0.2053125,0.911517243,0.878356549,0.108609451,2.409050833,0.093508399,3.372671166
